TweetId	tweet	username	mentname	Date	Predom	Feeling	Behavior	Admiration	Admiration_Int	Anger	Anger_Int	Disgust	Disgust_Int	Fear	Fear_Int	Interest	Interest_Int	Joy	Joy_Int	Sadness	Sadness_Int	Surprise	Surprise_Int	group	party	Split	Specificity
1001885064974790657	Admire @OfficialCBC Chairman @reprichmond's moral voice on issues of racism and restorative justice. He is a real leader for our nation and Congress.  	reprokhanna	reprichmond	2018-05-30	predom	warm	app	True	3.0	False	2.0	False	2.0	False	2.0	False	2.333333333333333	False	2.0	False	2.0	False	2.0	1	D	train	3.761914
1002970603165536258	It was wonderful to celebrate the 150th anniversary of Washington’s Pilotage Act this week with @pattymurray and this fantastic group in Port Townsend.  	senatorcantwell	pattymurray	2018-06-02	predom	warm	app	False	2.0	False	2.0	False	2.0	False	2.0	False	2.0	True	2.333333333333333	False	2.0	False	2.0	1	D	test	4.046838
1003713413292462082	I’m proud to support legislation Senator @timkaine introduced to protect children if they are separated from their parents, and I’m going to continue looking at what else we can to do end the Trump Administration's deeply wrong policy.	pattymurray	timkaine	2018-06-04	predom	warm	app	False	2.333333333333333	False	2.0	False	2.0	False	2.0	False	2.0	True	2.333333333333333	False	2.0	False	2.0	1	D	train	3.608603
1004419010333691904	During #ImmigrantHeritageMonth, let’s remember the numerous contributions those “yearning to breathe free” have made to our nation, and do the people’s work by voting on bipartisan immigration reform measures. No more excuses, @speakerryan. #CelebrateImmigrants!	repdelbene	speakerryan	2018-06-06	predom	cold	disapp	False	2.0	True	2.0	False	2.333333333333333	False	2.0	False	2.0	False	2.0	False	2.0	False	2.0	0	D	train	3.97293
1004433631950065664	Thank you @senatorleahy. The Administration is choosing to implement an inhuman policy that separates migrant children from their parents. It must end now!  	senbobcasey	senatorleahy	2018-06-06	predom	warm	app	True	2.0	False	2.0	False	2.0	False	2.0	False	2.0	True	1.6666666666666667	False	2.0	False	2.0	1	D	train	3.366325
1004440004964311046	As @senatordurbin said in his opening statement, anti-Chinese prejudice is already discouraging many Chinese students who wanted to enter the STEM fields, b\/c they worry they could become targets. This is tying the hands of our economy, holding us back from innovations	repjudychu	senatordurbin	2018-06-06	predom	neutral	app	False	2.0	False	2.0	False	2.0	False	2.0	True	2.333333333333333	False	2.0	False	2.0	False	2.0	1	D	train	3.913559
1004490655165542401	As the world turns toward #WorldCup2018 in Russia, with billions of viewers across the world, my resolution w\/ @roslehtinen makes it clear that Congress has not forgotten Russia’s campaign of disinformation & electoral meddling, human rights abuses and violence across the world.	repmarcykaptur	roslehtinen	2018-06-06	predom	warm	app	False	2.0	False	2.0	False	2.0	False	2.0	False	2.0	False	1.6666666666666667	False	2.0	False	2.0	0	D	train	4.409466
1004700319899627520	Sen. @johnboozman rightly points out that today our farmers are in a situation where nearly all commodity prices are low. Opening up bilateral trade with Cuba is a win-win for ag. #CubaTrade	reptomemmer	johnboozman	2018-06-07	predom	warm	app	False	2.0	False	2.0	False	2.0	False	2.0	True	2.333333333333333	False	2.0	False	2.0	False	2.0	1	R	train	3.973416
1004723973467275265	ICYMI: I introduced bipartisan legislation w\/@repschneider to ensure that families with high deductible health plans can receive two co-pay and deductible-free primary care visits each year. Read more:   #NY21  	repstefanik	repschneider	2018-06-07	predom	warm	app	False	1.6666666666666667	False	2.0	False	2.0	False	2.0	False	2.0	False	2.0	False	2.0	False	2.0	0	R	train	4.103119
1005129335160918018	BREAKING —> The U.S. House just passed a measure I led w\/@repbrianmast to help disabled veterans transition to the civilian workforce by increasing support for the Wounded Warrior Program, which offers these vets 2-yr paid fellowships in House offices. #FlaPol #Sayfie #SSNalerts	repstephmurphy	repbrianmast	2018-06-08	predom	warm	app	False	2.0	False	2.0	False	2.0	False	2.0	False	2.0	False	2.0	False	2.0	False	2.0	0	D	dev	4.402458
